"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PSAPL1",-4.93409078,8.29297507,-6.46156632077411,2.57052073476324e-06,0.00156232573991169,4.8675087022944
"CCN4",2.95334619,8.375161005,6.45662872205403,2.59792736149267e-06,0.00156232573991169,4.85764667878468
"AQP4",-7.841365174,6.759468413,-6.4549556068151,2.60728214229095e-06,0.00156232573991169,4.8543040962001
"OASL",-2.1176117,9.40896825,-6.44170350977426,2.68261195781516e-06,0.0015651628872821,4.82781421439122
"MT1E",-2.19386305,13.274602775,-6.42519200688198,2.77960988491486e-06,0.00158017258354993,4.79477286352735
"MT1F",-2.53064105,12.241514775,-6.37880105321098,3.07189516575478e-06,0.0016649383645839,4.70172536360607
"DGKD",-1.55979165,10.337492425,-6.3777444985839,3.07890816597987e-06,0.0016649383645839,4.69960253958362
"TST",-1.48343355,12.241632075,-6.25746525061559,3.99523383212467e-06,0.00210900784028658,4.45688003280755
"FGD4",-1.8295716,10.9686182,-6.20954154024943,4.43450133396824e-06,0.00220612133363924,4.35959141400927
"CLIC6",-4.21773706,10.80355552,-6.18895935341116,4.63809470005104e-06,0.00220612133363924,4.3177079241227
"CDK4",0.783413199999998,10.23446885,6.18263852186419,4.70252506118244e-06,0.00220612133363924,4.3048333968416
"TRIM74",-3.17251504,7.95010658,-6.17484822467077,4.78319958836672e-06,0.00220612133363924,4.28895804758747
"ENTPD5",-1.96555845,10.658873025,-6.16800404345814,4.85524791182332e-06,0.00220612133363924,4.27500367197519
"PLIN1",-2.61582916,5.00799273,-6.16719262492669,4.86386319040413e-06,0.00220612133363924,4.27334886031682
"MYZAP",-1.50975615,9.807694075,-6.14623944490822,5.09185161807917e-06,0.00220612133363924,4.23058479212671
"SNX10",1.6890116,9.7951962,6.14375490378616,5.11960318583509e-06,0.00220612133363924,4.22550992294484
"LOXL1",1.07541671,8.757083645,6.14047856872892,5.15643624199887e-06,0.00220612133363924,4.21881643167753
"SULF1",3.42719155,10.492183075,6.13890257122632,5.17425056827569e-06,0.00220612133363924,4.21559616322619
"GDPD1",-1.61112266999999,9.248658415,-6.10953832061705,5.5179676187991e-06,0.00222531204330351,4.1555321667985
"HOXA3",1.4799522,9.5359213,6.10667321129351,5.55273504389183e-06,0.00222531204330351,4.14966521226444
"ACTN1",1.30339085,12.677380075,6.10521762685476,5.5704842010225e-06,0.00222531204330351,4.14668413948064
"SSTR1",-3.58786005,9.666606575,-6.09550641691577,5.69039974729557e-06,0.00222531204330351,4.1267878168488
"ACO2",-1.2160107,9.74192865,-6.09305293174175,5.72111255551395e-06,0.00222531204330351,4.12175904836961
"CDH11",1.81315295,11.252214175,6.0676933869681,6.04870201701634e-06,0.00230041760173689,4.06973227287218
"CFC1",-2.75134207,5.984781995,-6.05020031473874,6.2858305001819e-06,0.00230041760173689,4.03379243086589
"CFC1B",-2.75134207,5.984781995,-6.05020031473874,6.2858305001819e-06,0.00230041760173689,4.03379243086589
"DCAF12L1",-3.32918927,5.448802315,-6.04612742338862,6.3423958045662e-06,0.00230041760173689,4.02541856900889
"CTHRC1",2.8671448,11.5532596,6.03163846297354,6.54788706710281e-06,0.00230041760173689,3.99561086167348
"SH3BGRL2",-1.7404764,11.1327525,-6.0287408293648,6.58979530249875e-06,0.00230041760173689,3.98964620247005
"HMGCL",-0.892929849999996,10.175638425,-6.02525951468658,6.64050906640028e-06,0.00230041760173689,3.98247854437804
"MAGIX",-1.18797634,6.90882396,-6.00186651325007,6.99182284300938e-06,0.0023557438180489,3.93427203175778
"MUL1",-0.922425930000002,7.691095035,-5.9943063889505,7.10938794100276e-06,0.0023557438180489,3.91867681681981
"SLC39A10",1.6076009,10.0225191,5.99369542663539,7.11897685306375e-06,0.0023557438180489,3.91741617029447
"SCNN1G",-5.306967048,5.789625116,-5.98151039714161,7.31301091388959e-06,0.002357592056938,3.89226330121096
"MYRF",-2.32435674,9.73420393,-5.98001243208369,7.33723566500032e-06,0.002357592056938,3.88916975242648
"IL17RE",-2.12420297,4.156926475,-5.97240450600495,7.46154464663026e-06,0.00236328437657771,3.87345344110736
"ATP4A",-8.02319208,7.84040318,-5.95998224046764,7.6691743356176e-06,0.00239483470697152,3.84777501674436
"COL12A1",2.56169335,11.175449525,5.94941888497589,7.85038669106988e-06,0.00241737393510709,3.82592290586604
"MEST",1.6817218,10.6007469,5.94014567783092,8.01308059829224e-06,0.00243066920749889,3.80672737870689
"GPRC5C",-1.6666549,9.85503305,-5.92998559874327,8.19530386993444e-06,0.00243066920749889,3.78568285028504
"SIGLEC15",-1.74146216,7.88989466,-5.92849124062354,8.22246134871756e-06,0.00243066920749889,3.78258643250976
"SALL4",3.4227639,5.92945936,5.92179237546202,8.34533947055826e-06,0.00243453317633878,3.76870225061905
