GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000069011.15,9.259117548031632,3.6993564737418714,0.2592078876144386,14.271774319015002,3.281226640794797e-46,8.408799512364827e-42
ENSG00000180818.4,4.216312785439486,5.643700824712478,0.4869615128401687,11.589623976227589,4.651701899601893e-31,5.9604582290548855e-27
ENSG00000173110.7,1510.66536297502,5.615118714427186,0.4864896354056649,11.542113759001166,8.091212983022081e-31,6.911783837196896e-27
ENSG00000151615.3,4.05311673972547,4.545976350944282,0.4146395598820614,10.963682173107948,5.712670925928134e-28,3.35780657578717e-24
ENSG00000253293.4,4.74046835864433,4.844573509152701,0.44237497412876614,10.951282944280086,6.551306387378878e-28,3.35780657578717e-24
ENSG00000128710.5,3.4242213387599025,4.811176434931047,0.4749808534798213,10.129200787112236,4.099866633437246e-24,1.7511213702516052e-20
ENSG00000171540.7,4.204574369376694,3.3716934656065636,0.3364782424982102,10.020539338808804,1.2382536846760379e-23,4.533246739598975e-20
ENSG00000126778.8,48.01715349619833,3.231653391914441,0.3362886663996545,9.60976005083043,7.271824707859158e-22,2.329438147353833e-18
ENSG00000168779.19,7.791735461886209,2.7316293575704593,0.2895113608290849,9.43530972238114,3.898407979411984e-21,1.1100500143154546e-17
ENSG00000152779.13,48.12223557280351,3.1830319775992746,0.3421729047266282,9.302408032986396,1.3730023085069236e-20,3.518593016010693e-17
ENSG00000108950.11,177.55899013549362,2.719972600775407,0.29681191305064086,9.163960343840161,5.002685614563748e-20,1.165489311312956e-16
ENSG00000165030.3,574.9059189191917,1.266930583195846,0.1404649971617083,9.019546568867336,1.8886940710275512e-19,4.0334635798519216e-16
ENSG00000131668.13,5.590449650023253,2.9161706067117033,0.32825365692932484,8.883893736299102,6.455996121323334e-19,1.2726754815473316e-15
ENSG00000096696.13,388.55168515188615,2.562238267432106,0.29286268347463185,8.748940756236875,2.1536468469951928e-18,3.9422505534247004e-15
ENSG00000112499.12,24.631561611922177,3.386550899342268,0.3893713461570024,8.697483604704548,3.3932474724610234e-18,5.797250198450576e-15
ENSG00000122592.7,3.8201890674911203,4.337687826722643,0.5007685367933895,8.662061427617838,4.633085635324021e-18,7.420755348528043e-15
ENSG00000106809.10,508.58171892163693,3.857761548462868,0.45614330457084307,8.457345553043679,2.7353246173121183e-17,4.12342140987398e-14
ENSG00000132002.7,5749.267408242274,1.8379153786922815,0.221220307125706,8.308077149752378,9.726528566208346e-17,1.338475687605778e-13
ENSG00000130600.16,123.91594489527009,2.5794071977933384,0.31055879535938385,8.305696815987469,9.923533017719506e-17,1.338475687605778e-13
ENSG00000100985.7,23.80799103111073,3.3798991617238654,0.40804015898657725,8.283251261636357,1.1985716770934468e-16,1.535789818443688e-13
ENSG00000112175.7,83.8276554225858,3.9658389168616917,0.4862071903543869,8.156685041969595,3.443447880165064e-16,4.202154229761433e-13
ENSG00000170689.9,2.841999479148163,4.466559433184036,0.5600864260980931,7.974768223363025,1.526670482977336e-15,1.7265597470042904e-12
ENSG00000149257.13,862.4579371002943,2.2695575478907184,0.2846579393325627,7.972929029178489,1.5495717087875554e-15,1.7265597470042904e-12
ENSG00000163817.15,178.9108418580762,1.803071804879416,0.22961070085666363,7.852734206865204,4.070637546976675e-15,4.346592850682136e-12
ENSG00000127083.7,185.30617891653498,1.956503500702432,0.24991848314314843,7.828566643395419,4.934633565017928e-15,5.0583941748285775e-12
ENSG00000147606.8,46.43401937229365,3.1580163326580597,0.40407357130915006,7.815448861024155,5.476750982020907e-15,5.397766824528754e-12
ENSG00000227128.4,4.798420238099099,2.2222120736955744,0.2845085635751202,7.8107036419971685,5.68695923292919e-15,5.397766824528754e-12
ENSG00000185022.11,471.1690382850658,1.6336290803119764,0.21041601305958088,7.7638058841529425,8.241801079796951e-15,7.543308438284159e-12
ENSG00000185222.7,905.8002058166535,0.7665164852067736,0.0989183162797499,7.748984354313069,9.263042983479435e-15,8.185655259918189e-12
ENSG00000165474.5,168.4750642623853,2.6165076143375314,0.3396179617536533,7.704267468148379,1.3159596535251074e-14,1.124136601362931e-11
ENSG00000115648.13,54.56319523320647,2.0740465780072266,0.2700731390975041,7.679573707100271,1.5961885550757034e-14,1.2980971263568822e-11
ENSG00000170577.7,26.460328732832426,3.5063591070212787,0.45669963468784613,7.677604361163706,1.6209118524766937e-14,1.2980971263568822e-11
ENSG00000163221.8,41.58536324501602,4.135046069541309,0.5396563742477105,7.662368623562777,1.825348191870234e-14,1.4175211549411663e-11
ENSG00000243836.5,44.79142386694777,2.566595363257955,0.3357757199987974,7.643778898805271,2.109375032886732e-14,1.5899104108173024e-11
ENSG00000182107.6,84.84149322817078,2.572764997033048,0.3375096051382589,7.622790456523836,2.48249696515337e-14,1.8176842778852974e-11
ENSG00000100906.10,1921.7935968482486,1.0122553369106204,0.13327709866838033,7.595118343844737,3.0751126876666053e-14,2.189053134634225e-11
ENSG00000092607.13,44.850406544242624,1.995213053532651,0.2649185603747044,7.531420413543675,5.019130022308186e-14,3.476357975180862e-11
ENSG00000251493.4,57.83761996113065,1.7841155886317235,0.23720855423758355,7.52129531907516,5.4236184834073234e-14,3.65765975984946e-11
ENSG00000260314.2,145.90929512195734,2.066961002851689,0.27514610721430127,7.512230588244552,5.812828257594886e-14,3.8196243527534394e-11
ENSG00000124107.5,88.8389851992795,2.860054412717942,0.38116941044842073,7.503368146340169,6.219854558262964e-14,3.978695758289386e-11
ENSG00000122862.4,1303.8971022778187,1.5510947653454492,0.20680335417647686,7.500336595226659,6.365416400275679e-14,3.978695758289386e-11
